#TAG,NAME OR GIT URL,PURPOSE
,bat,"cat clone with syntax highlighting"
,bear,"a tool to generate compilation data (used by clangd)"
,bluez,"daemons for bluetooth protocol"
,btop,"a monitor of system resources (better top/htop)"
,chafa,"image-to-text converter for terminal emulators"
,clang,"c language family frontend for llvm"
,cmake,"a cross-platform open-source make system"
,dunst,"customizable and lightweight notification daemon"
,fd,"simple, fast alternative to find"
,ffmpegthumbnailer,"lightweight video thumbnailer"
,fzf,"command-line fuzzy finder"
,git,"the fast distributed version control"
,github-cli,"command-line interface for github"
,grim,"screenshot utility for wayland"
,gtk2,"GObject-based multi-plaftform GUI"
,gtk3,"GObject-based multi-plaftform GUI"
,gtk4,"GObject-based multi-plaftform GUI"
,gvfs,"virtual filesystem for GIO"
G,https://codeberg.org/Rentib/mew.git,"dynamic menu for wayland"
G,https://github.com/NikitaIvanovV/ctpv.git,"image previews for lf file manager"
G,https://github.com/Rentib/dam.git,"dwm-esque statusbar for river"
G,https://github.com/Rentib/slstatus.git,"suckless status generator"
G,https://github.com/Rentib/st-flexipatch.git,"suckless terminal emulator"
,iwd,"internet wireless daemon"
,kodi,"media player for normies"
,lf,"a terminal file manager"
A,light,"a program to control backlight"
,man-db,"a utility for reading man pages"
,man-pages,"Linux man pages"
,mpc,"Minimalist command line interface to MPD"
,mpd,"Flexible, powerful, server-side application for playing music"
,mpv,"a free, open source, and cross-platform media player"
,ncmpcpp,"Featureful ncurses based MPD client inspired by ncmpc"
,neovim,"Fork of Vim aiming to improve user experience, plugins, and GUIs"
,npm,"JavaScript package manager"
,nsxiv,"Neo (or New or Not) Simple (or Small or Suckless) X Image Viewer"
,ntfs-3g,"NTFS filesystem driver and utilities"
,openmp,"LLVM OpenMP Runtime Library"
,openssh,"SSH protocol implementation"
,pass,"Stores, retrieves, generates, and synchronizes passwords securely"
,pipewire,"Low-latency audio/video router and processor"
,pipewire-audio,"Low-latency audio/video router and processor - Audio support"
,python-pip,"The PyPA recommended tool for installing Python packages"
,python-pynvim,"Python client for Neovim"
,ripgrep,"A search tool that combines the usability of ag with the raw speed of grep"
,river,"A dynamic tiling wayland compositor"
,rlwrap,"Adds readline-style editing and history to programs"
A,shntool,"A multi-purpose WAVE data processing and reporting utility"
,slurp,"Select a region in a Wayland compositor"
,swww,"A Solution to your Wayland Wallpaper Woes"
,thunar,"Modern, fast and easy-to-use file manager for Xfce"
,tlp,"Linux Advanced Power Management"
,tmux,"Terminal multiplexer"
,transmission-qt,"Fast, easy, and free BitTorrent client (Qt GUI)"
A,ungoogled-chromium-bin,"A lightweight approach to removing Google web service dependency"
,unzip,"For extracting and viewing files in .zip archives"
A,vesktop,"Discord app with Vencord & improved Linux support"
,vi,"The original ex/vi text editor"
,wget,"Network utility to retrieve files from the Web"
,wl-clipboard,"Command-line copy/paste utilities for Wayland"
,wlsunset,"Day/night gamma adjustments for Wayland compositors"
,xdg-desktop-portal-wlr,"xdg-desktop-portal backend for wlroots"
,xorg-xrdb,"X server resource database utility"
,ydotool,"Generic command-line automation tool (no X!)"
,yt-dlp,"A youtube-dl fork with additional features and fixes"
,zathura,"Minimalistic document viewer"
,zathura-pdf-poppler,"Adds pdf support to zathura by using the poppler engine"
,zip,"Compressor/archiver for creating and modifying zipfiles"
,zsh,"A very advanced and programmable command interpreter (shell) for UNIX"
